Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2022-01-03 00:00:00-03:00;13.797178693078163;14.125912368791663;13.79234425227829;14.063066482543945;52704700;0.0;0.0
2022-01-04 00:00:00-03:00;14.09690941013287;14.21293324585335;13.976051132664601;14.116247177124023;51739200;0.0;0.0
2022-01-05 00:00:00-03:00;14.111411767871699;14.150086377126922;13.507120421961687;13.569966316223145;78459800;0.0;0.0
2022-01-06 00:00:00-03:00;13.67632368223581;13.850358981921884;13.458778405033817;13.560298919677734;61163100;0.0;0.0
2022-01-07 00:00:00-03:00;13.58930398218965;13.676322082894345;13.449107948370884;13.623144149780273;47507600;0.0;0.0
2022-01-10 00:00:00-03:00;13.531291429255429;13.65214969595697;13.40076427991967;13.540960311889648;37455200;0.0;0.0
2022-01-11 00:00:00-03:00;13.584467968013794;14.053397662760306;13.463609713711314;13.942208290100098;73623800;0.0;0.0
2022-01-12 00:00:00-03:00;13.995389112739053;14.459484462686943;13.995389112739053;14.367631912231445;81378200;0.0;0.0
2022-01-13 00:00:00-03:00;14.275776557424892;14.80755210991117;14.261273235746533;14.65768814086914;76717500;0.0;0.0
2022-01-14 00:00:00-03:00;14.63835140756434;15.276482812866337;14.619013645185364;15.203968048095703;96458800;0.0;0.0
2022-01-17 00:00:00-03:00;15.179797342353206;15.378004815911222;15.107282570430211;15.228140830993652;35675900;0.0;0.0
2022-01-18 00:00:00-03:00;15.257145632049193;15.460187534391542;14.9719200806141;15.295820236206055;78198800;0.0;0.0
2022-01-19 00:00:00-03:00;15.421515098995783;15.571379095919912;15.199136324339042;15.223307609558105;77480200;0.0;0.0
2022-01-20 00:00:00-03:00;15.228141555697798;15.469858088327921;15.039602955310428;15.33449649810791;85353100;0.0;0.0
2022-01-21 00:00:00-03:00;15.261982295495123;15.411846293168878;15.242645451638234;15.35866928100586;61345400;0.0;0.0
2022-01-24 00:00:00-03:00;15.319992690574086;15.590714924098272;15.005761411402672;15.445685386657715;79117100;0.0;0.0
2022-01-25 00:00:00-03:00;15.324829534230197;16.06448158205339;15.266817156912959;15.948458671569824;98358500;0.0;0.0
2022-01-26 00:00:00-03:00;16.098321761246382;16.56725245546399;16.098321761246382;16.373878479003906;98679900;0.0;0.0
2022-01-27 00:00:00-03:00;16.557585262928676;16.746123894946024;16.035476579664234;16.37871551513672;90631000;0.0;0.0
2022-01-28 00:00:00-03:00;16.34003705248146;16.60592486654247;15.576213776952514;15.730912208557129;117400500;0.0;0.0
2022-01-31 00:00:00-03:00;15.711572848693416;15.95328935405793;15.503696506547886;15.639057159423828;62450300;0.0;0.0
2022-02-01 00:00:00-03:00;15.639059648361581;16.107990333526686;15.445687519785375;15.953291893005371;57315200;0.0;0.0
2022-02-02 00:00:00-03:00;16.151498021290077;16.19017355022994;15.643893690934084;15.721242904663086;36271700;0.0;0.0
2022-02-03 00:00:00-03:00;15.639059017961154;15.914615719291662;15.286154021563286;15.503698348999023;51087800;0.0;0.0
2022-02-04 00:00:00-03:00;15.668064878438026;16.064479826888917;15.411845033233627;15.774420738220215;59346800;0.0;0.0
2022-02-07 00:00:00-03:00;15.735743844161693;15.84693321330873;15.53270286854116;15.54237174987793;48868100;0.0;0.0
2022-02-08 00:00:00-03:00;15.421517365799001;15.445689576646554;15.11212044355481;15.387677192687988;62590000;0.0;0.0
2022-02-09 00:00:00-03:00;15.344163972789074;15.803424789401047;15.300654927141846;15.445685386657715;50960500;0.0;0.0
2022-02-10 00:00:00-03:00;15.614889163106197;15.904950137063091;15.44085386963774;15.68256950378418;49534600;0.0;0.0
2022-02-11 00:00:00-03:00;15.842100132021045;16.393213474376058;15.774419804945952;16.320697784423828;88013400;0.0;0.0
2022-02-14 00:00:00-03:00;16.369044643462985;16.407718331517874;15.86627378969327;15.953291893005371;55687000;0.0;0.0
2022-02-15 00:00:00-03:00;15.788924306084331;15.798593188974502;15.416680613491533;15.701906204223633;65689000;0.0;0.0
2022-02-16 00:00:00-03:00;15.87111009326689;16.291696388084166;15.842103442394633;15.919452667236328;65811600;0.0;0.0
2022-02-17 00:00:00-03:00;15.880775861160155;16.093487595556144;15.735746306713423;15.85660457611084;43255200;0.0;0.0
2022-02-18 00:00:00-03:00;15.745415517776564;15.99680094466142;15.60038596030669;15.953291893005371;60304700;0.0;0.0
2022-02-21 00:00:00-03:00;15.977462145146742;16.436723917555653;15.953290861156958;16.364208221435547;51263800;0.0;0.0
2022-02-22 00:00:00-03:00;16.54308091053118;16.765459689074223;16.054812457479187;16.311033248901367;80206700;0.0;0.0
2022-02-23 00:00:00-03:00;16.52374351695974;16.72678453390772;16.340038422470432;16.543081283569336;86530100;0.0;0.0
2022-02-24 00:00:00-03:00;16.823469033846987;17.06035202939143;15.798591529126542;16.141828536987305;139674100;0.0;0.0
2022-02-25 00:00:00-03:00;16.170834023794775;16.436721801757812;15.90494624583174;16.436721801757812;86189100;0.0;0.0
2022-03-02 00:00:00-03:00;17.045847581911612;17.060351826626047;16.62526136820561;16.760622024536133;58071800;0.0;0.0
2022-03-03 00:00:00-03:00;16.833139863994464;16.886317798382784;16.514074101815424;16.552749633789062;69237400;0.0;0.0
2022-03-04 00:00:00-03:00;16.47540064775176;16.765459765066037;16.349707011204917;16.547914505004883;55418000;0.0;0.0
2022-03-07 00:00:00-03:00;16.678441510792894;16.726784081859478;15.290988144616641;15.37317180633545;110954100;0.0;0.0
2022-03-08 00:00:00-03:00;15.469860012593438;15.938790734353503;15.232977891799662;15.692238807678223;111633500;0.0;0.0
2022-03-09 00:00:00-03:00;15.759917433806322;15.866273299938348;15.344165618257438;15.740581512451172;87779300;0.0;0.0
2022-03-10 00:00:00-03:00;15.759917163717423;16.726783292636302;15.721243477519078;16.29169464111328;136437700;0.0;0.0
